firstName,lastName,Team,Position,college,Age,overallRating,birthdate,height,weight,handedness,Jersey Number,yearsPro,X-Factor,Superstar 1,Superstar 2,Superstar 3,Superstar 4,Superstar 5,Archetype,Position Type,stats/acceleration/value,stats/acceleration/diff,stats/agility/value,stats/agility/diff,stats/jumping/value,stats/jumping/diff,stats/stamina/value,stats/stamina/diff,stats/strength/value,stats/strength/diff,stats/awareness/value,stats/awareness/diff,stats/bCVision/value,stats/bCVision/diff,stats/blockShedding/value,stats/blockShedding/diff,stats/breakSack/value,stats/breakSack/diff,stats/breakTackle/value,stats/breakTackle/diff,stats/carrying/value,stats/carrying/diff,stats/catchInTraffic/value,stats/catchInTraffic/diff,stats/catching/value,stats/catching/diff,stats/changeOfDirection/value,stats/changeOfDirection/diff,stats/deepRouteRunning/value,stats/deepRouteRunning/diff,stats/finesseMoves/value,stats/finesseMoves/diff,stats/hitPower/value,stats/hitPower/diff,stats/impactBlocking/value,stats/impactBlocking/diff,stats/injury/value,stats/injury/diff,stats/jukeMove/value,stats/jukeMove/diff,stats/kickAccuracy/value,stats/kickAccuracy/diff,stats/kickPower/value,stats/kickPower/diff,stats/kickReturn/value,stats/kickReturn/diff,stats/leadBlock/value,stats/leadBlock/diff,stats/manCoverage/value,stats/manCoverage/diff,stats/mediumRouteRunning/value,stats/mediumRouteRunning/diff,stats/overall/value,stats/overall/diff,stats/passBlock/value,stats/passBlock/diff,stats/passBlockFinesse/value,stats/passBlockFinesse/diff,stats/passBlockPower/value,stats/passBlockPower/diff,stats/playAction/value,stats/playAction/diff,stats/playRecognition/value,stats/playRecognition/diff,stats/powerMoves/value,stats/powerMoves/diff,stats/press/value,stats/press/diff,stats/pursuit/value,stats/pursuit/diff,stats/release/value,stats/release/diff,stats/runBlock/value,stats/runBlock/diff,stats/runBlockFinesse/value,stats/runBlockFinesse/diff,stats/runBlockPower/value,stats/runBlockPower/diff,stats/runningStyle/value,stats/runningStyle/diff,stats/shortRouteRunning/value,stats/shortRouteRunning/diff,stats/spectacularCatch/value,stats/spectacularCatch/diff,stats/speed/value,stats/speed/diff,stats/spinMove/value,stats/spinMove/diff,stats/stiffArm/value,stats/stiffArm/diff,stats/tackle/value,stats/tackle/diff,stats/throwAccuracyDeep/value,stats/throwAccuracyDeep/diff,stats/throwAccuracyMid/value,stats/throwAccuracyMid/diff,stats/throwAccuracyShort/value,stats/throwAccuracyShort/diff,stats/throwOnTheRun/value,stats/throwOnTheRun/diff,stats/throwPower/value,stats/throwPower/diff,stats/throwUnderPressure/value,stats/throwUnderPressure/diff,stats/toughness/value,stats/toughness/diff,stats/trucking/value,stats/trucking/diff,stats/zoneCoverage/value,stats/zoneCoverage/diff
Amon-Ra,St. Brown,Detroit Lions,WR,USC,25,96,10/24/99,72,195,1,14,4,Double Me,Short Out Elite,,,,,Slot - WR,Offense,91,0,92,0,91,0,93,0,67,0,98,0,92,0,33,0,27,0,78,0,76,0,94,0,99,0,88,0,88,0,10,0,23,0,48,0,90,0,87,0,14,0,20,0,74,0,26,0,12,0,97,0,96,0,30,0,23,0,27,0,24,0,19,0,10,0,20,0,36,0,90,0,47,0,28,0,36,0,Default,0,97,0,90,0,90,0,79,0,62,0,34,0,25,0,34,0,40,0,35,0,48,0,32,0,85,0,57,0,19,0
Maxx,Crosby,Las Vegas Raiders,LE,Eastern Michigan,28,96,8/22/97,77,255,1,98,6,Relentless,Edge Threat Elite,Swim Club,No Outsiders,,,Smaller Speed Rusher - DE,,88,0,83,0,85,0,98,0,85,0,96,0,41,0,89,0,12,0,27,0,41,0,29,0,41,0,71,0,16,0,96,0,88,0,86,0,94,0,34,0,12,0,17,0,20,0,20,0,40,0,20,0,96,0,45,0,45,0,44,0,6,0,94,0,88,0,25,0,98,0,25,0,45,0,45,0,46,0,Long Stride Loose,0,25,0,31,0,86,0,30,0,39,0,96,0,6,0,6,0,6,0,6,0,22,0,10,0,86,0,34,0,48,0
Penei,Sewell,Detroit Lions,RT,Oregon,24,96,10/9/00,78,325,1,58,4,Screen Protector,Natural Talent,,,,,Power - OT,Offense,74,0,60,0,70,0,95,0,97,0,97,0,20,0,35,0,13,0,15,0,35,0,17,0,44,0,58,0,5,0,16,0,33,0,96,0,94,0,10,0,20,0,23,0,10,0,97,0,12,0,17,0,96,0,88,0,84,0,92,0,6,0,19,0,24,0,10,0,37,0,15,0,98,0,98,0,97,0,Default Stride Awkward,0,28,0,15,0,73,0,10,0,25,0,32,0,6,0,6,0,6,0,6,0,18,0,14,0,91,0,30,0,12,0
T.J.,Watt,Pittsburgh Steelers,LE,Wisconsin,30,96,10/11/94,76,252,1,90,8,Unstoppable Force,Strip Specialist,Edge Threat,No Outsiders,,,Run Stopper - DE,,87,0,84,0,88,0,88,0,86,0,98,0,49,0,93,0,12,0,23,0,53,0,52,0,72,0,70,0,7,0,95,0,87,0,79,0,91,0,46,0,50,0,57,0,6,0,16,0,59,0,14,0,96,0,45,0,45,0,45,0,6,0,98,0,87,0,43,0,98,0,22,0,45,0,45,0,45,0,Long Stride Loose,0,24,0,57,0,83,0,37,0,54,0,96,0,6,0,6,0,6,0,6,0,25,0,16,0,95,0,52,0,65,0
Tristan,Wirfs,Tampa Bay Buccaneers,LT,Iowa,26,96,1/24/99,77,320,1,78,5,Natural Talent,Omniscient,Run Protector,,,,Pass Protector - OT,Offense,78,0,65,0,87,0,93,0,94,0,97,0,22,0,25,0,12,0,20,0,37,0,15,0,37,0,58,0,5,0,10,0,38,0,95,0,95,0,16,0,12,0,15,0,10,0,92,0,12,0,5,0,96,0,95,0,96,0,95,0,6,0,17,0,10,0,10,0,30,0,15,0,89,0,91,0,87,0,Long Stride Loose,0,15,0,15,0,77,0,13,0,34,0,38,0,6,0,6,0,6,0,6,0,11,0,10,0,93,0,36,0,13,0
CeeDee,Lamb,Dallas Cowboys,WR,Oklahoma,26,95,4/8/99,74,200,1,88,5,YAC 'Em Up,Mid Out Elite,Short Out Elite,,,,Deep Threat - WR,Offense,91,0,94,0,96,0,93,0,70,0,95,0,97,0,30,0,35,0,86,0,76,0,93,0,93,-2,93,0,95,0,10,0,29,0,46,0,93,0,92,0,33,0,48,0,80,0,33,0,18,0,94,0,95,0,39,0,25,0,27,0,21,0,16,0,10,0,17,0,31,0,98,0,54,0,22,0,27,0,Short Stride High and Tight,0,94,0,98,0,90,0,86,0,81,0,38,0,21,0,26,0,31,0,32,0,37,0,25,0,91,0,71,0,25,0
Christian,Gonzalez,New England Patriots,CB,Oregon,23,95,6/28/02,74,201,1,0,2,Acrobat,Short Route KO,,,,,Manto Man - CB,Defense,93,0,92,0,95,0,90,0,59,0,96,0,75,0,51,0,10,0,67,0,60,0,62,0,74,0,91,0,20,0,37,0,49,0,48,0,90,0,74,0,42,0,46,0,55,0,15,0,96,0,27,0,95,0,30,0,24,0,25,0,6,0,97,0,28,0,84,0,72,0,40,0,32,0,27,0,32,0,Default Stride Loose,0,37,0,73,0,96,0,66,0,57,0,62,0,6,0,10,0,15,0,10,0,35,0,10,0,78,0,42,0,88,0
Derrick,Brown,Carolina Panthers,DT,Auburn,27,95,4/15/98,77,320,1,95,5,Swim Club,Unpredictable,Interior Threat,,,,,Defense,76,0,70,0,68,0,87,0,98,0,97,0,53,0,94,0,33,0,38,0,56,0,47,0,53,0,58,0,33,0,65,0,84,0,93,0,95,0,52,0,14,0,22,0,30,0,42,0,24,0,38,0,95,0,48,0,44,0,48,0,25,0,95,0,83,0,23,0,85,0,39,0,50,0,46,0,50,0,Long Stride Default,0,42,0,49,0,73,0,50,0,52,0,94,0,27,0,30,0,35,0,36,0,41,0,31,0,95,0,60,0,30,0
Jahmyr,Gibbs,Detroit Lions,HB,Alabama,23,95,3/20/02,69,199,1,0,2,Juke Box,Reach For It,,,,,Elusive Back - HB,Offense,94,0,93,0,81,0,85,0,72,0,89,0,90,0,30,0,25,0,83,0,96,0,64,0,74,0,92,0,61,0,10,0,28,0,32,0,90,0,95,0,10,0,14,0,80,0,29,0,12,0,65,0,95,0,52,0,29,0,34,0,10,0,16,0,10,0,16,0,37,0,62,0,30,0,24,0,16,0,Default,0,71,0,64,0,95,0,92,0,72,0,30,0,13,0,17,0,21,0,15,0,26,0,14,0,84,0,82,0,15,0
Jessie,Bates III,Atlanta Falcons,FS,Wake Forest,28,95,2/26/97,73,200,1,3,7,Shutdown,Deep In Zone KO,Acrobat,Pick Artist,,,Zone - S,Defense,91,0,88,0,85,0,97,0,59,0,97,0,77,0,56,0,10,0,48,0,69,0,65,0,83,0,84,0,10,0,37,0,85,0,61,0,92,0,78,0,12,0,18,0,78,0,20,0,86,0,15,0,95,0,35,0,35,0,35,0,10,0,96,0,25,0,66,0,93,0,13,0,35,0,35,0,35,0,Default,0,20,0,70,0,90,0,69,0,36,0,80,0,10,0,10,0,10,0,10,0,25,0,23,0,88,0,41,0,95,0
Jordan,Mailata,Philadelphia Eagles,LT,No College,28,95,3/31/97,80,365,1,68,7,All Day,Edge Protector,,,,,Power - OT,Offense,69,0,68,0,75,0,94,0,97,0,97,0,62,0,36,0,12,0,44,0,64,0,55,0,57,0,57,0,20,0,15,0,60,0,93,0,90,0,51,0,13,0,18,0,10,0,98,0,12,0,25,0,95,-1,92,-1,90,-1,93,-1,6,0,16,0,15,0,10,0,57,0,20,0,97,0,98,0,95,0,Default,0,30,0,48,0,74,0,37,0,57,0,52,0,6,0,6,0,6,0,6,0,39,0,15,0,93,0,74,0,17,0
Nick,Bosa,San Francisco 49ers,LE,Ohio State,27,95,10/23/97,76,266,1,97,6,Relentless,Extra Credit,Speedster,Edge Threat Elite,Enforcer Supreme,,Smaller Speed Rusher - DE,,91,0,87,0,81,0,87,0,94,0,95,0,30,0,91,0,12,0,21,0,38,0,27,0,45,0,73,0,6,0,98,0,84,0,87,0,87,0,38,0,17,0,17,0,10,0,18,0,30,0,10,0,95,0,45,0,45,0,44,0,6,0,93,0,94,0,31,0,96,0,16,0,45,0,45,0,45,0,Long Stride Loose,0,17,0,23,0,80,0,32,0,34,0,89,0,6,0,6,0,6,0,6,0,25,0,14,0,90,0,31,0,42,0
Patrick,Mahomes,Kansas City Chiefs,QB,Texas Tech,29,95,9/17/95,74,225,1,15,8,Bazooka,Dashing Deadeye,Red Zone Deadeye,No-Look Deadeye,Pass Lead Elite,,Improviser - QB,Offense,87,0,86,0,74,0,98,0,70,0,92,0,92,0,24,0,92,0,76,0,66,0,32,0,59,0,86,0,15,0,10,0,18,0,27,0,96,0,76,0,10,0,20,0,10,0,23,0,17,0,17,0,95,0,10,0,10,0,10,0,96,0,22,0,10,0,10,0,37,0,22,0,23,0,10,0,10,0,Default,0,27,0,30,0,85,0,71,0,57,0,26,0,83,0,94,0,98,0,97,0,97,0,97,0,99,0,72,0,19,0
Quinn,Meinerz,Denver Broncos,RG,Wisc-Whitewater,26,95,11/15/98,75,320,1,77,4,Secure Protector,Post Up,Omniscient,,,,Power - G,Offense,79,0,66,0,78,0,85,0,95,0,95,0,18,0,33,0,12,0,33,0,22,0,10,0,25,0,55,0,3,0,27,0,41,0,87,0,90,0,18,0,13,0,19,0,10,0,95,0,12,0,7,0,95,0,89,0,87,0,90,0,6,0,26,0,30,0,10,0,27,0,15,0,97,0,99,0,95,0,Default Stride Awkward,0,15,0,12,0,76,0,20,0,31,0,32,0,6,0,6,0,6,0,6,0,21,0,15,0,92,0,35,0,17,0
Tyreek,Hill,Miami Dolphins,WR,West Alabama,31,95,3/1/94,70,191,0,10,9,RAC 'em Up,Short Out Elite,Acrobat,Juke Box,,,,Offense,98,0,97,0,95,0,92,0,64,0,90,-1,93,0,21,0,28,0,84,0,77,0,87,0,91,0,96,0,94,0,10,0,25,0,40,0,92,0,95,0,15,0,13,0,92,0,20,0,10,0,95,0,95,0,33,0,19,0,19,0,19,0,26,0,10,0,30,0,33,0,92,0,59,0,12,0,17,0,None,0,95,0,90,0,98,0,81,0,45,0,27,0,23,0,28,0,31,0,28,0,41,0,24,0,93,0,37,0,20,0
Cameron,Heyward,Pittsburgh Steelers,DT,Ohio State,36,94,5/6/89,77,295,1,97,14,Fearmonger,Inside Stuff,Unpredictable,El Toro,,,,Defense,73,0,67,0,74,0,87,0,94,0,94,0,29,0,96,0,12,0,11,0,39,0,10,0,48,0,59,0,2,0,73,0,92,0,94,0,92,0,10,0,11,0,12,0,10,0,17,0,22,0,3,0,94,0,45,0,45,0,45,0,6,0,95,0,87,0,10,0,89,0,12,0,45,0,45,0,45,0,Long Stride Loose,0,10,0,22,0,75,0,10,0,46,0,94,0,6,0,6,0,6,0,6,0,21,0,18,0,95,0,36,0,32,0
Chris,Lindstrom,Atlanta Falcons,RG,Boston College,28,94,2/28/97,75,307,1,63,6,Fool Me Once,Omniscient,,,,,Power - G,Offense,80,0,68,0,75,0,91,0,92,0,98,0,14,0,15,0,12,0,8,0,19,0,18,0,26,0,58,0,5,0,10,0,28,0,91,0,94,0,14,0,25,0,25,0,10,0,99,0,12,0,6,0,94,0,84,0,81,0,87,0,6,0,10,0,10,0,10,0,23,0,12,0,98,0,97,0,92,0,Default Stride Awkward,0,16,0,14,0,76,0,10,0,27,0,32,0,6,0,6,0,6,0,6,0,23,0,10,0,92,0,31,0,12,0
Christian,McCaffrey,San Francisco 49ers,HB,Stanford,29,94,6/7/96,71,205,1,23,8,Ankle Breaker,Evasive,Leap Frog,Playmaker,Backfield Mismatch,,Receiving Back - HB,Offense,93,0,94,0,90,0,93,0,74,0,94,0,94,0,32,0,38,0,89,0,92,0,72,0,83,0,93,0,67,0,10,0,27,0,45,0,83,0,90,0,23,0,29,0,88,0,47,0,12,0,76,0,94,0,65,0,32,0,36,0,31,0,27,0,10,0,15,0,44,0,76,0,38,0,22,0,22,0,None,0,82,0,75,0,90,0,82,0,80,0,36,0,33,0,41,0,45,0,47,0,52,0,37,0,94,0,65,0,17,0
Creed,Humphrey,Kansas City Chiefs,C,Oklahoma,27,94,6/28/98,76,302,0,52,4,Linchpin,Natural Talent,,,,,Power - C,Offense,79,0,67,0,80,0,94,0,90,0,97,0,10,0,26,0,12,0,8,0,34,0,15,0,25,0,58,0,6,0,10,0,25,0,93,0,93,0,10,0,11,0,14,0,10,0,93,0,7,0,8,0,94,0,91,0,88,0,94,0,6,0,25,0,10,0,10,0,30,0,21,0,94,0,96,0,91,0,Default Stride Awkward,0,15,0,21,0,74,0,10,0,10,0,39,0,6,0,6,0,6,0,6,0,24,0,14,0,98,0,18,0,11,0
